Pclass,Sex,Age,Fare,Family_cnt,cabin_ind
1,0,71.0,34.6542,0,1
3,0,29.0,9.5,0,0
3,0,21.0,7.8,0,0
2,0,30.0,13.0,0,0
3,0,26.0,7.8958,0,0
1,1,54.0,59.4,1,0
1,0,0.92,151.55,3,1
1,1,29.69911764705882,51.8625,1,1
3,1,26.0,7.925,0,0
2,0,29.69911764705882,0.0,0,0
1,1,21.0,262.375,4,1
3,0,20.0,7.925,0,0
2,1,42.0,26.0,1,0
2,1,6.0,33.0,1,0
3,0,45.0,8.05,0,0
3,0,29.69911764705882,7.75,0,0
1,0,50.0,106.425,1,1
1,1,19.0,91.0792,1,1
3,0,19.0,8.1583,0,0
3,1,29.69911764705882,24.15,1,0
3,1,4.0,16.7,2,1
3,0,29.69911764705882,56.4958,0,0
2,0,66.0,10.5,0,0
3,1,1.0,11.1333,2,0
2,0,8.0,36.75,2,0
3,1,30.0,8.6625,0,0
1,0,4.0,81.8583,2,1
3,0,30.5,8.05,0,0
3,0,22.0,7.5208,0,0
3,1,29.69911764705882,7.75,0,0
3,0,35.0,7.125,0,0
1,0,58.0,113.275,2,1
3,0,19.0,0.0,0,0
3,0,20.0,7.2292,0,0
1,0,29.69911764705882,50.0,0,1
1,1,42.0,227.525,0,0
2,1,28.0,26.0,1,0
3,1,63.0,9.5875,0,0
2,0,29.0,27.7208,1,0
1,0,45.5,28.5,0,1
1,0,29.69911764705882,25.925,0,0
1,0,37.0,53.1,1,1
1,1,38.0,80.0,0,1
1,0,45.0,26.55,0,1
3,1,47.0,14.5,1,0
2,0,34.0,13.0,0,0
3,1,29.69911764705882,7.2292,0,0
1,1,50.0,247.5208,1,1
1,0,51.0,61.3792,1,0
2,0,23.0,10.5,0,0
2,0,3.0,26.0,2,1
1,1,51.0,77.9583,1,1
2,1,34.0,32.5,2,0
2,1,44.0,26.0,1,0
2,1,40.0,13.0,0,0
1,1,16.0,39.4,1,1
3,1,29.69911764705882,25.4667,4,0
3,0,18.0,20.2125,2,0
3,0,30.0,9.5,0,0
3,1,8.0,21.075,4,0
2,1,24.0,13.0,0,0
1,0,49.0,56.9292,1,1
2,1,36.0,26.0,1,0
3,1,29.69911764705882,22.3583,2,0
1,1,63.0,77.9583,1,1
1,0,37.0,52.5542,2,1
3,1,29.69911764705882,14.4583,1,0
2,0,43.0,26.25,2,0
3,0,36.0,15.55,1,0
3,0,22.0,8.05,0,0
2,0,23.0,13.0,0,0
3,0,29.69911764705882,15.2458,2,0
2,0,28.0,13.0,0,0
3,0,29.69911764705882,8.05,0,0
3,1,20.0,8.6625,0,0
3,1,31.0,18.0,1,0
2,1,41.0,19.5,1,0
3,1,6.0,31.275,6,0
3,0,23.0,7.8958,0,0
3,0,30.0,7.25,0,0
3,1,41.0,20.2125,2,0
1,1,39.0,110.8833,2,1
1,0,50.0,55.9,1,1
1,0,34.0,26.55,0,0
3,0,29.69911764705882,8.1125,0,0
3,0,24.0,7.8958,0,0
2,1,29.0,10.5,0,1
2,0,57.0,12.35,0,0
2,1,31.0,26.25,2,0
3,0,23.0,7.8542,0,0
1,1,29.69911764705882,52.0,1,1
3,0,22.0,7.2292,0,0
3,0,32.0,7.925,0,0
3,0,50.0,8.05,0,0
3,1,39.0,29.125,5,0
1,0,25.0,55.4417,1,1
3,1,14.0,11.2417,1,0
1,0,27.0,211.5,2,1
1,0,47.0,38.5,0,1
3,0,22.0,7.25,0,0
3,0,17.0,7.125,0,0
3,0,40.0,27.9,5,0
1,0,24.0,247.5208,1,1
2,1,22.0,29.0,2,0
1,0,49.0,89.1042,1,1
3,1,30.0,12.475,0,0
2,0,52.0,13.5,0,0
1,0,29.69911764705882,30.5,0,1
1,0,52.0,30.5,0,1
3,0,29.69911764705882,7.25,0,0
3,0,29.69911764705882,7.8958,0,0
3,1,30.5,7.75,0,0
1,0,36.0,26.2875,0,1
3,0,29.69911764705882,15.2458,2,0
2,1,18.0,13.0,2,0
1,1,30.0,56.9292,0,1
1,1,30.0,31.0,0,0
1,1,29.69911764705882,146.5208,1,1
3,0,21.0,8.4333,0,0
1,1,22.0,49.5,2,1
3,1,29.69911764705882,7.8792,0,0
3,0,29.69911764705882,7.225,0,0
3,0,27.0,8.6625,0,0
1,1,22.0,151.55,0,0
3,0,43.0,8.05,0,0
3,1,22.0,7.75,0,0
2,1,29.0,26.0,1,0
1,1,18.0,79.65,2,1
2,1,35.0,21.0,0,0
3,0,29.69911764705882,7.75,0,0
3,0,32.0,8.05,0,1
1,0,38.0,153.4625,1,1
3,0,19.0,7.8958,0,0
3,0,29.69911764705882,7.8958,0,0
3,1,31.0,7.8542,0,0
2,0,36.0,10.5,0,0
3,0,29.69911764705882,14.4583,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,4.0,11.1333,2,0
3,1,31.0,20.525,2,0
1,0,71.0,49.5042,0,0
1,1,52.0,93.5,2,1
3,1,22.0,7.775,0,0
3,1,23.0,7.925,0,0
2,1,45.0,13.5,0,0
3,1,38.0,31.3875,6,0
1,1,62.0,80.0,0,1
3,0,29.69911764705882,15.5,0,0
2,1,25.0,30.0,2,0
1,1,35.0,90.0,1,1
3,1,18.0,17.8,1,0
3,0,20.0,8.05,0,0
3,0,44.0,8.05,0,0
3,0,32.0,7.8542,0,0
2,1,26.0,26.0,2,0
2,0,16.0,10.5,0,0
3,0,33.0,8.6625,0,0
3,0,26.0,7.8542,1,0
3,1,16.0,7.75,0,0
3,0,23.5,7.2292,0,0
3,0,21.0,8.05,0,0
1,1,31.0,113.275,1,1
1,0,38.0,0.0,0,0
3,1,29.69911764705882,7.7875,0,0
3,1,18.0,9.8417,0,0
1,1,19.0,26.2833,2,1
3,0,27.0,6.975,0,0
1,0,61.0,32.3208,0,1
1,0,54.0,51.8625,0,1
3,0,29.69911764705882,7.8958,0,0
2,0,27.0,13.0,0,0
3,0,16.0,8.05,0,0
3,0,9.0,20.525,2,0
1,0,24.0,79.2,0,1
1,0,65.0,26.55,0,1
3,0,22.0,7.8958,0,0
3,0,29.0,7.875,0,0
3,0,29.69911764705882,7.75,0,0
